리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
1048929,vi*******,2020-01-20 02:40:59.636,"P206_나는 내가 깨달은 사실을 말하고 있는 걸세. 지식은 전달할 수가 있지만, 그러나 지혜는 전달할 수가 없는 법이야. 우리는 지혜를 찾아낼 수 있으며, 지혜를 체험할 수 있으며, 지혜를 지니고 다닐 수도 있으며, 지혜로써 기적을 행할 수도 있지만, 그러나 지혜를 말하고 가르칠 수는 없네. 바로 이러한 사실을 이미 젊은 시절부터 나는 이따금씩 예감했으며, 이 때문에 내가 그 스승들 곁을 떠났던 거야. 나는 한 생각을 얻었지. 고빈다, 내가 그 생각이 무언가를 말하면 자네는 그것을 또 농담 또는 어리석은 말이라고 여길 터이지만 그 생각은 나로서는 최고의 생각이네. &lt;모든 진리는 그 반대도 마찬가지로 진리이다!&gt;..!!!",고마워요,4
1048883,ah***,2017-09-30 19:36:18.186,싯다르타와 고빈다라는 대조적인 인물을 통해 인생을 이야기하는 책 불교적 철학을 통해 인간이 정해진 길을 걸어야하는것은 아니라는 걸 얘기해주는 헤세 이 책을 통해 불교적 관념과 생각에 더 가까워질 수 있었습니다 너무 좋았어요 책을 다 읽고 덮은 후에도 많은 생각을 하게 만드는 책,최고예요,4
1048983,ky*******,2020-05-25 12:21:57.186,책 한 권 읽었다고 바로 사람이 바뀔 수는 없지만 인생을 좀 더 가벼운 마음으로 받아들일 수 있게 될 거 같다. 자연은 인간에게 참 많은 것을 준다.,고마워요,4
1048976,hc*****,2020-04-02 07:54:25.76,이런 책이 내겐...필요했다,힐링돼요,4
1049064,ch********,2022-03-30 05:01:06.266,"며칠에 걸쳐 읽었던 부분을 읽고 또 읽었다.

몇년 전 싯다르타를 읽었을 때는 단지 소설일 뿐이었다.

&#8203;

몇년이 지나 읽은 지금의 싯다르타는 모든 사람들이 나아가야 할 삶이자 이상향이 아닐까하는 하는 생각이든다.

&#8203;

태어나서 지금까지의 나의 삶의 돌아보며 앞으로의 삶을 매순간 자각하며 순간 순간 깨달음으로 나아가길.

&#8203;

세상에 일어나는 모든 일은 옳고 그름이 없으며

옳고 그름을 판단하는 나의 의식과 마음뿐임을.

&#8203;

세상에 태어나서 하는 모든 나의 경험들 이면에는 

반드시 깨달음이 있고 더 나아가기 위한 과정임을.

&#8203;",고마워요,4
1048999,pi******,2019-04-30 08:39:19.576,조금씩 조금씩 결국 모든 부분이 새로운 나무조각들로 교체된 테세우스의 배는 과연 테세우스의 '그 배'일까? 어제의 강물은 어디쯤 흘러갔고 오늘 보고있는 강물은 언제 어디에서 왔을지 모르겠는데 그래도 강은 언제나 '그 강'일까?,고마워요,3
1048990,hy******,2020-04-06 08:14:51.92,진짜 최고의 책입니다. 자아 탐구의 시간을 보내고 계신 분들. 정말 추천 드려요.  제 인생 책꽂이 최애 책 !!,재밌어요,4
14911620,am****,2024-10-18 15:09:54.735415,사색하며 살아가지 않는다면 당신은 그저 스스로에게 마저 타인이다. 이 책을 통해 스스로가 될 수 있기를,힐링돼요,4
1048924,jh****,2020-12-06 19:42:33.323,싯다르타를 읽게 되어 나의 내면에도 성숙함이 함께 성장해 나아가길 바라는 마음으로 읽고 있네요ㅣ,고마워요,4
1049074,rh******,2019-09-19 00:38:23.53,문학책은 항상 옳아요..,고마워요,4
