리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
12340626,wl*******,2023-10-07 13:50:03.723918,"저는 낙서하면서 읽는 스타일인데 이책은 깨끗한쪽 보다 더러운쪽이 많을 정도로 공감이 많이 되고 저를 다시 되돌아 보는 책이였어요

책제목보고 처음에 유치해서 안사려다가 목차보고 샀는데, 단점이라면 너무 뼈를 빼려서 아픈게 단점입니다^^ㅠ

도움 많이 됬어요!
저처럼 생각이 많아서 힘들다면 도움되실 꺼예요",추천해요,4
13211554,ch*******,2024-02-26 09:00:31.809315,즐겁게 읽었습니다.^^,쉬웠어요,2
13033458,ze*****,2024-01-30 16:48:55.090775,이런류의 심리학 책들이 많은데 여러권을 읽으며 본인 상황에 맞는 책을 고르면 좋을것 같아요,쉬웠어요,2
12950938,ra****,2024-01-18 11:53:25.693658,잘봤어요 ~~~~~~,도움돼요,2
12440961,sp*******,2023-10-27 22:55:25.707411,"'후회없는 삶을 살고 싶은 당신에게 해 주고 싶은 말들' 이라는 글귀와 '생각이 많은 어른들을 위한 심리학' 제목에 구매했습니다.
 읽고 구매했는데 ",도움돼요,4
12404303,sj*****,2023-10-20 07:55:48.043962,책ㅓ잘 받아보았습니다 ,도움돼요,2
13311631,hy*******,2024-03-09 18:01:06.232862,힘든 시기에 읽기 좋은 책입니다!,도움돼요,4
13161701,ym*****,2024-02-19 14:29:21.781877,후회 없는 삶을 살고 싶은 당신에게 해 주고 싶은 말들,도움돼요,3
13111283,ag****,2024-02-12 12:55:41.92492,그냥 수필이다. 그 이하도 그 이상도 아니다,쉬웠어요,4
12896253,te****,2024-01-11 12:14:06.97283,지금 시대를 살아 가는 어른들에게 꼭 필요한 책입니다.,추천해요,4
12895483,na******,2024-01-11 08:32:22.412293,요즘처럼 생각이 너무 많을때 꼭 읽고 싶은 책~,집중돼요,4
12842694,ga****************,2024-01-03 13:51:01.884105,마음이 편안해집니다 ,도움돼요,4
12456582,fl******,2023-10-31 10:23:56.200261,도움이 많이 됩니다 ,도움돼요,4
12439419,le********,2023-10-27 15:03:31.392107,생각이 깊어지는 30대,최고예요,4
15555696,tj*******,2025-03-22 10:57:22.457813,선물로 구매했습니다. 마음에 들었으면 좋겠네요!,추천해요,4
15474523,ys*******,2025-03-06 10:05:34.349203,생각정리에 좋아요..,추천해요,4
15472401,si********,2025-03-05 22:18:49.188799,아주 오ㄹ랫동안 심리치료등 봤아보고도 지금까지 불안증상등때문에 집근처에 가까운 연세하나정신과병원에서 상담을 하고약을 아침저녁으로 처방을 받아서 먹고있는데도 늘 하루하루가 동일하고정신과전문의가 저자라서 책을 구매를 하게되었습니다그리고 너무 생각이 꼬리에 꼬리를 불어서 여러가지 생각이 겹쳐서 부정적으로 생각을 많이 해서요일어나지않은일도 미리 생각을 해서요,추천해요,4
15444816,dr******,2025-02-28 20:19:47.46158,좋아요 많이읽을게요,집중돼요,4
