리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
1575226,jh****,2021-04-08 09:16:05.5,"9살 딸이 이 책을 읽고, 품에 안겨서 한 참을 울었습니다. 한참을 을고 나서 자연을 보호하고 멸종 위기 동물들을 모두 모두 지켜주고 싶다고 하네요.",재밌어요,4
1575220,po******,2021-05-16 05:08:01.456,오늘의 나를 위한 무수한 타인에 대한 감사와 나로서 살아내기 위한 앞으로의.긴긴밤을 스스로 응원합니다.,좋아해요,4
1575344,ki******,2021-06-23 14:28:41.58,내 삶은 결코 나의 것만은 아니었다는 진리. 혼자 이룰 수 있는 것은 아무것도 없다.,좋아해요,4
1575054,bo******,2021-05-10 12:01:41.29,어른에게도 감동을 주는 책입니다. 추천합니다.,재밌어요,4
13406505,sy***,2024-03-22 16:13:16.168669,15페이지 읽고 눈물콧물 범벅이 됨... 밖에선 읽지 마세요 ,추천해요,4
1575070,ps***,2021-05-08 23:55:36.43,아이들을 위한 책이라지만 인생을 좀더 살아본 어른들에게도 큰 감동을 주는 책입니다.,좋아해요,4
1575476,bi*****,2021-05-11 18:03:58.176,이야기 자체는 전형적일 수 있지만 감동적이었습니다. 픽사의 애니메이션을 보는 느낌으로 읽었습니다.,좋아해요,4
13037931,pi*********,2024-01-31 11:41:30.418919,"✏️아니, 어린이문학이 이렇게 하이퀄리티라니...🫢 마음을 훅훅 헤집어놓는 감동의 일렁임! 몹시 아름답기도하고, 어떤 부분은 마음이 아파 외면하고 싶기도 하고, 생태계 최악의 빌런인 인간 존재에 대한 암울함도 그려졌다. 하지만, 그 모든 어두운 사건들이 있었음에도 불구하고, 인간들이 빌런으로서만 존재하는 것은 아니라는 희망의 여지도 잊지 않고 그려넣었다.

p.81 노든은 한 존재가 다른 존재에게 해 줄 수 있는 모든 것을 내게 주었다.

책을 모두 읽고나서 이 문장이 내내 맴돌았는데, 종을 뛰어넘는 존재와 존재 사이의 관계. 다음 세대로 이어지는 선한 영향력. 그리고 생명 그 자체에 대한 소중함과 지켜 나아가고자 하는 마음까지 두루 다 표현되었다는 생각이 든다.

개인적으로 요즘 혐오와, 폭력과 악이 만연한 사회모습에 지쳐가고 있었는데, 지난번 읽었던 #이처럼사소한것들 에 이어 #긴긴밤 까지 모처럼 정말 따숩고 에너지가 되어주는 책들을 만나 묘하게 나아갈 힘을 나눠받은 듯한 연말이었다.(모두 12월 말에 읽었는데 리뷰가 늦었습니다.🫠)

그냥 다 외면하고 싶고 사람 지치게 하는 사회모습들이지만, 이 책들 덕분에... 그럼에도 불구하고 포기하지 않고 나아가야 함을, 새삼 다짐하며 새해를 맞이했다.",추천해요,4
1575335,ju********,2021-11-04 21:30:27.276,한국어를 공부하고 있는 외국인 친구에게 선물했어요. 읽기 쉽고 내용도 재미있다고 하네요 :),좋아해요,4
15487630,e4******,2025-03-08 15:16:26.950394,읽고 오열했어요ㅠㅠ 집에서 읽기를 추천드립니다,잘읽어요,4
