리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
14561545,sk*****,2024-09-05 09:39:31.523351,이 책이 나오면 겨울이 온다라고 생각이 듭니다,추천해요,4
14740581,ha*****,2024-09-26 18:15:42.989277,"매년 나오는데  24년트렌드는 구매하고 읽지도 못하고 한해가 거의 지나가네요 
25년도는 어떤트렌드일까 궁금함때문에 구매버튼을 또 ~~
다음은 안살것같아요 ",도움돼요,3
14841416,le*****,2024-09-30 14:43:19.030848,"10분만 투자하면 전체 내용을 파악할 수 있는, 가벼이 훑어보면 되는 책",쉬웠어요,2
14718584,ai****,2024-09-25 12:10:49.673595,매년 운세 보듯이 보게 되는 책,도움돼요,4
14893829,so******,2024-10-14 06:33:38.571394,"소비자 트렌드 관점에서는 새로운 이슈 출현을 강조 하고자 했으나 점점 트렌드를 억측으로 만들어내고 있는 것 같네요.
일부 카드사에 데이터 자료를 근거로 하기에는 설득력이 부족해 보입니다. ",쉬웠어요,2
14665571,wi*****,2024-09-19 17:48:34.897848,한해의 마무리와 한해의 시작,추천해요,4
14746330,wi*******,2024-09-26 22:27:08.433338,"'현대사회에서 가장 큰 자원은 시간이다.' 라는 응답이 년도의 증가와 함께 늘어가고 있다. 콘텐츠의 열람도 배속으로, 영화도 숏폼으로, 예약도 앱을 이용하여 기다리는 시간을 줄이는 방향으로...
모두가 시간의 효율을 극대화하려 한다.
일상에서도, 일터에서도, 쇼핑에서도...

2025년의 트렌드도 그런 방향으로의 변화의 지속일 것이다. 세계경제의 발전이 더뎌지고, 정체되면서 우리의 지향도 작은 것을 아끼고, 소소한 일상에서 기쁨과 행복을 느끼는 방향으로...",도움돼요,4
14588897,qh*****,2024-09-08 22:56:15.150488,"올해도 예약 구매 완료했습니다. ^^ 올해 모나리자, 먼작귀… 어떤 의미일지 너무 궁금해요! 산뜻한 마우스패드도  놓치지 않고 선택했습니다. ㅎㅎㅎ 기대됩니다! ",도움돼요,4
14750475,li****,2024-09-27 01:00:49.228788,"매년마다 찾는 책, 트렌드를 돌아보는게 잼남",최고예요,4
14622409,al****************,2024-09-13 03:42:07.182559,사업을 준비에 앞두고 책을 읽기위해  예약신청했어요. 제 맘속 용기에 힘을 실어주는 책이 되길♡,추천해요,4
14875434,ta******,2024-10-09 17:58:15.552615,"아보하가 소확행을 밀어내며 디지털 시대에 물성을 갖춘 브랜드에 충성고객이 몰리는 현상이 밋밋한 2025년에는 심화될 것이란 예측을 들었다.
나이대별 집단간의 차이는 줄고 또래 간에 취향 차이는 크게 벌어지는 상황이 연출 될 것. 마케팅 담당은 고객이 원하는 가능과 감성에 집중하여 대상을 나이가 아닌 상품을 원하는 고객으로 아주 심하게 좁혀야 할 것이다 라고 예측했다.
그리고 개인의 원포인트업이 더욱 발달할 것이라고 해서 사회에서 써먹어야 하는 so 와 챗got에 좀 더 시간 투여 예정. 평생 교육 시대가 정말 열렸음을 얘기했고 저자의 말에 동의한다. 공부하자. 배우고 익혀서 써먹겠습니다! ",도움돼요,4
14882537,td******,2024-10-11 14:59:15.510894,성인이 된 이후로 6년간 트코를 구매하였는데 올해 트코는 많이 아쉬웠다.. ,쉬웠어요,1
14877921,la******,2024-10-10 12:30:24.924886,매년 찾게되고 접하게 되는 유익한 얘기들이 있습니다.흥미롭습니다,집중돼요,4
14744703,tu*****,2024-09-26 21:00:57.593608,"매년 이맘때쯤엔 내년 경제서적을 찾아 읽습니다
출간하자마자 구매했어요",도움돼요,4
