리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
12498434,vi*****,2023-11-06 18:05:55.088685,한권으로 핵심내용 포괄. 상식쌓기에 유용해요,도움돼요,4
12545757,lo******,2023-11-15 14:02:14.052787,세계사가 약해서 쉽게 쓰여진 책을 찾고있었는데 딱이에요,도움돼요,4
14003866,yu******,2024-06-19 13:02:21.931572,알기쉽게 보기쉽게 굿,쉬웠어요,4
12803071,an********************,2023-12-29 02:35:03.447315,책은 좋아하지 않지만 역사를 좋아하는 남편을 위해 구매했어요. 재밌다고 꾸준히 읽네요.,추천해요,4
12553043,li******,2023-11-16 22:10:10.397451,많은 분들이 읽는데는 다 이유가 있다는 것이다.  저도 이제 함께 하렵니다~,도움돼요,4
12540465,si*****,2023-11-14 18:36:06.005249,선물했는데 받는분이 재밌다고 하심,도움돼요,4
12504183,me****,2023-11-07 19:00:34.321983,역사를 이렇게 배우면 재밌어서 빨리 배웠을 것 같습니다,쉬웠어요,4
13939423,ss********,2024-06-09 15:21:36.606697,궁금해서 샀어요 잘보고 있어요,도움돼요,4
13831440,aj*****,2024-05-25 10:20:38.176946,"유튜브에서 세계사, 전쟁사를 보다가 책으로 더 읽고 싶어서 구매했습니다.
책이 생각보다 두꺼워서 당황했지만, 재미있을 꺼 같네요!",도움돼요,4
12620170,ki****************,2023-11-28 18:06:47.503375,읽기는 쉬운데 아무래도 깊이가 많이 부족하고 역사를 가십화 한 느낌??거기다 폴 포트 같은 싸이코 공산 독재자로 인한 학살 부분도 마무리는 열강들 사이에서 흔들리는 약소국의 비애??이게 뭐야??,쉬웠어요,1
13795581,pu******,2024-05-18 23:30:03.416247,내용이 좋아요 !!!!,도움돼요,4
13775962,sj*******,2024-05-16 08:46:13.719367,세계사에 대해 쉽게 알려줍니다. 시간의 흐름에 따라 전개되는 역사를 알려주어 읽기 쉽습니다.,추천해요,4
13724934,ki******,2024-05-08 22:28:09.686576,"가격이 조금 나가긴 하지만 한 번에 다 읽어버릴 정도로 매우매우 즐겁게 읽어나갔습니다. 
세계의 주요 사건들에 대해 잘 서술 되어 있고, 흥미진진하게 사건들이 쓰여있네요~ 
추천합니다 ^^",최고예요,4
13607476,sh******,2024-04-20 17:54:02.127049,너무 재미있어요 추천,도움돼요,4
13517826,jh*******,2024-04-08 16:20:29.16608,재미있는 내용이 많아요,도움돼요,4
13394023,se********,2024-03-21 00:42:08.674804,재미있네요~  추천드립니다~,도움돼요,4
13386451,eh*****,2024-03-19 22:36:46.302197,세계사에 관심이 생겨수 구매했는데 너무 재미있게 잘 읽힙니다. 추천합니다,집중돼요,4
13385944,cs******,2024-03-19 21:27:52.783846,이해하기쉽게 잘 정리되어 있어요.,추천해요,4
13288346,dl******,2024-03-06 22:25:24.108085,아이티 이야기가 특히 신기했다,쉬웠어요,4
12747035,su*******,2023-12-19 22:17:25.632802,"저는 특별히 좋은지는 잘모르겠어요
내용이 단편적이고 끊어진 느낌입니다",쉬웠어요,3
13253494,we**********,2024-03-03 08:54:06.969416,도서관에서 우연하게 보고 내용이 좋아서 구입했습니다. 열심히 보려고 합니다.,추천해요,4
13248366,rn******************,2024-03-02 14:46:03.099674,너무나도 도움이 되는 책입니다,쉬웠어요,4
13237562,ho******,2024-02-29 23:08:25.446906,꼭 알아야할 것만 담겼네요.,최고예요,4
13149890,so*******,2024-02-17 17:01:38.35471,요새 인기있는 책이라서 구매했는데 잘 읽을게요,도움돼요,4
