리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
14729808,ku****,2024-09-26 02:38:39.447975,"나름의 결핍과 그늘을 안고 있어 자신 안에 스스로를 가둔 세 명의 고등학생들이 그것으로부터 벗어나고 결국 성장한다는 이야기.
 
이들의 상처와 고통은 외부로부터 기인하여 자신이 어쩌지 못하는 것들이 대부분이지만, 부정과 의심, 상황에 대한 몰이해로 스스로를 모는(고통 속에 자신을 방치하는) 가학적인 측면도 있다. 
내면이 튼튼하지도 않고 세상과 타협하는 방법을 배우지도 못한, 아직 십대의 그들은 서로가 고통으로부터 벗어나도록 돕는데, 그 과정에서 인물들은 서로에게 엮이며 영향을 주고받는다. 
작가는 자신의 어둠을 어쩌지 못할 때 타인의 손길(어둠을 문질러 빛이 새어나오게 만드는 손가락, 11쪽)이 필요함을, 그것에 다소 기대도 괜찮음을 이야기한다.   

단어와 생각을 오랫동안 갖고 논 사람만이 빚어낼 수 있는 문장들이 여전하다. 작가의 특징이었던 ‘달콤쌉사름한’ 정서에서 ‘달콤함’은 많이 휘발되고 쌉싸름함이 짙게 남아 있는 느낌이다. 그래서 이야기 전체가 꽤 어둡다. 그럼에도 개인이라는 섬을 잇는 정서적 다리, 타인의 도움과 영향력, 서로를 향해 내미는 손길 등 세상을 바라보는 작가의 따뜻한 시선은 변하지 않은 것 같아 반갑다. 

좋은 말은 여기까지. 

이야기가 단조롭다. 그것 자체는 단점은 아니다. 하지만 비중 있는 인물이 세 명씩이나 등장하고 이들이 각자의 이야기를 가지고 있으며 작품 내내 세 명의 시점을 오고가고 있다면, 독자는 (분량과는 상관없이) 보다 풍성한, 빨강과 노랑, 파랑의 셀로판지가 서로 적당히 겹쳐 있는 것처럼 다채로운 이야기를 기대할 것이다. 하지만 이 작품은 그러질 못한다. 개성이 없는 인물들에 그들끼리 중복되는 설정(엄마의 부재, 암에 걸린 두 명의 엄마, 사고로 죽은 두 명의 엄마, 폭력 가장 두 명, 그런 아버지에 대해 살의를 품는 아들 두 명, 그림에 소질이 있는 두 명의 인물, 두 마리의 애완동물 등)에 서로 비슷한 면이 많아 마치 세 장의 셀로판지가 차곡차곡 포개져 있어 결국 검정색만 보이는 형국이다. 작가가 의도한 바일까? 무엇 때문에? 독자로서 피로감이 심하다. 

그리고 전형적이다. 미숙한 십대, 상처와 아픔, 극복과 성장. 이런 서사를 김애란을 통해 굳이 읽어야 하는 이유가 뭘까. 작가가 이런 이야기를 꼭 써야 한다면 써야겠지만, 공산품처럼 널린 그런 이야기라면 김애란 아니면 쓰지 못하는 뭔가가 있어야 한다. 그게 작가의 신작을 기다리고 지갑을 열어 기꺼이 책을 구매하는 독자들에 대한 예의다. 팬덤에 새로 유입될 잠재적 독자들에게는 좋은 미끼인 거고. 

쓰다가 만, 이야기가 더 있어야 하지 않나, 하는 아쉬움이 크다. 세 인물들 중, 그럭저럭 이야기가 완결된 것으로 보이는 건 ‘지우’가 유일하다. ‘소리’와 ‘채운’의 경우는 뒤에 이야기가 더 필요해 보인다. 지금으로선 너무 성급해 보인다. 자연스럽지 못하고 인위적이다. 

소리의 초능력은 작가로서 일종의 도전이었을 것 같은데, 그런 설정이 굳이 필요했던 이유를 모르겠다. 쓸모도 정확하지 않고 명분도 없어 보인다. 인물들이 서로 관련이 되는데 너무 느슨하다. 특히 지우가 채운에 대해 과연 어디까지 알고 있을까, 하는 부분에선 실소를 금할 수 없었다. 이 정도면 허풍으로 보인다. 

좋아하는 작가의 오랜만의 신작이라 반갑게 읽었지만 ‘역시 김애란!’하고 외칠 수 있었다면 얼마나 좋았을까. 빈약한 이야기에 과도한 마케팅의 콜라보는 거의 출판사와 서점의 횡포라고 봐도 무방하지 않을까. 언제나 작가에게 걸작이나 명작을 기대할 수는 없을 테니 이만큼 써 준 것도, ‘썩어도 준치’라고 이 만큼의 결과물도 김애란이어서 가능했으니, 마냥 작가에게 감사를 해야 할까. 작가로서 사는 것도 피곤한 일일 테지만 독자로서 사는 것도 녹록치 않다. 제대로 된 이야기를 만났을 때에라야 비로소 독자는 행복하다.
",재밌어요,2
14493957,hy*****,2024-08-28 12:11:18.920634,지하철에서 읽다가 사연녀됐어요,최고예요,4
14458521,mi******,2024-08-24 11:47:40.178613,"어젯밤 새벽 2시까지 읽다가 잠들고, 오늘 일하러 가는 지하철에서 213페이지부터 이어 읽었습니다. 어느 순간 눈물이 터져 나오기 시작해 자리에 앉아 가기 힘들어 지하철 문 앞 구석에서 이야기의 끝을 보았습니다. 처음엔 이야기속 아이들과 제 삶에 거리가 존재해 구경꾼으로 보았다면 끝에서는 결국 이건 지금을 살아가는 우리의, 나의 이야기였구나 생각이 들어 큰 울림을 받았습니다. 김애란 작가님 책 읽을 때마다 마음 정가운데를 세게 주먹으로 맞은 것 같은 느낌이 듭니다. 다음 작품도 손꼽아 기다리겠습니다.",최고예요,4
14453390,yo*****,2024-08-23 16:30:23.093408,"정말 좋아하는 작가님
이번 작품은 살짝 아쉬움이…
한 숨 고르고
다시 첫 장으로…",고마워요,3
14617500,zz******,2024-09-12 14:12:12.965189,저는 이번 작품은 생각보다는 별로였습니다..,공감돼요,3
14383501,uh*****,2024-08-13 18:37:26.259644,"김애란작가님의 신작이라니....!! 기다렸습니다.
지인과 북토크 가려고 똑같은 책 두 권을 구매해본 건 처음이네요. 다녀와서 리뷰를 마저 수정해볼게요. ^^",고마워요,4
14482807,he*******,2024-08-27 13:53:52.145502,"쉽게 잘 읽히고 몰입도도 높아서 금세 읽었고요, 지극히 개인적인 의견으로 저는 아쉬웠어요. 아이들이 모두 너무 성숙해요. 생각이 깊은데 그게 그 나이때 깨달을 수 있는 감각일까.. 작가의 개입이 많이 들어간 것 아닌가 .. 그런 생각이 들었어요. ",공감돼요,3
14660163,eo*****,2024-09-18 22:09:07.121194,기대만큼은 아니었습니다. 책도 얇은데 18000원 조금 과하다고 생각해요,재밌어요,3
14380767,po******,2024-08-13 12:34:17.612902,기대히고 있습니다. 븍콘서트 참여 위해 바로 구매,고마워요,4
14631679,ks***,2024-09-14 18:24:30.51006,"역시 좋아요~~
단편집도 기다려요",최고예요,4
14597254,ma******,2024-09-09 22:40:15.323611,"인물에게 연민하지 않으면서도 인물과 그의 삶이 품위를 잃지 않도록 하기 위한 작가의 시선이 내내 이야기의 세부를 낱낱이 보듬고 있다고 느껴지는 『이중 하나는 거짓말』을 읽으며 『달려라 아비』와 『바깥은 여름』의 특장점들을 골라 합쳐놓은 장편이 아닐까 생각했다. 세 인물(지우, 채운, 소리)의 이야기가 교차하면서 작중 만화카페에 업로드되는 만화와 엄마의 편지 등이 중요한 순간마다 접속사처럼 더해지며 읽는 내내 마음을 건드린다. 그렇게 누적된 감정이 결말부에 이르러서 더욱 빛을 발하는데, 『이중 하나는 거짓말』의 진실한 감동은 바로 그 서사를 마무리하는 방식에서 오는 것 같다.
⠀
요컨대 갈등을 해소하거나 사건의 전개를 종결하는 일로 어떤 메시지를 주는 게 아니라, 순간의 대화와 서술을 통해 기꺼이 진실을 감당하기로 용기를 내기로 한 인물들이 지금까지와는 다른 걸음(여정)을 내딛는 순간 (여름을 지나고 시작되는 겨울과 함께) 매듭지어짐으로써 마치 이들의 삶이 소설 밖에서도 계속될 것임을 지시하는 듯했다.
⠀
이 소설의 결말(차를 타고 어디론가 향하는 두 사람)을 보며, 밀드레드/윌러비/딕슨 세 사람 사이의 오해 뒤의 이해와 연대를 내비치는, 마틴 맥도나의 영화 <쓰리 빌보드>(2017)의 마지막을 잠시 떠올렸다. <쓰리 빌보드>의 마지막 대사는 인물들이 확신 없는 결정을 내린 채 어디론가 떠나면서 내뱉는 ""가면서 결정하자고(I guess we can decide along the way)""였다.
⠀
『이중 하나는 거짓말』 속, 조수석과 운전석에 각각 앉은 지우와 선호도 '일단' 차에 몸을 실은 상태다. 목적지에 도달했을 때 뭔가 대단한 일이 펼쳐질까? 그렇지 않을 것이다. 그러나 소리가 지우를 생각하며 용식의 시점에서 ""이미 아는 걸 한번 더 알려주""는 그림을 반복해서 그렸듯, ""시간이 무척 오래 걸리는 데다 거의 표도 안 나는 그 정도의 변화""도 성장임을 지우가 생각했듯, ""어떤 계산도 지위도 무화""된 채 그들은 물기 어린 두 눈으로, 도망이 아닌 기도의 마음으로, 이제 서로를 번갈아 구하기 위한 선택을 계속해서 내리게 될 것이다.
⠀
어떤 소설의 여운은 그것을 읽기 전으로 돌아가지 못하게 만들 뿐 아니라 나머지 삶을 다시 사는 기분을 들게 한다. 다른 강연에서 마음에 담았던 작가의 말을 빌어 표현하자면 이제는 '김애란의 소설을 읽는 일'도 곧 ""삶의 방식""이나 마찬가지가 아닌가 싶게 된다. 서사의 가치와 어떤 진실을 한 가지 방식으로만 전달할 수 있는 건 아니지만 『이중 하나는 거짓말』이 담고 있는 언어는 다른 이야기에서 같은 명도와 채도로 만나기 어려울 것이다. ""연필가루 위에 연필가루를 얹""고 ""선 위에 또 다른 선을 보태""듯이 다음 『이중 하나는 거짓말』을 이제 읽어야겠다. (2024.08.22.)

https://brunch.co.kr/@cosmos-j/1612",힐링돼요,4
14513493,db*******,2024-08-30 18:39:59.317915,이전 단편보다는 서사적으로 아쉬움이 듭니다만 문장은 좋아요.,힐링돼요,2
