리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
1541610,fu****,2020-08-18 20:04:55.633,"뭉클해요
눈물이 펑펑나네요",,4
1541593,le****,2018-03-23 16:13:18.44,뒷 내용이 너무 궁금해서 펼친 그 자리에서 끝까지 다 읽었어요. 쉽게 읽히면서도 여운이 남는 좋은 소설이었어요.,잘읽어요,4
10131104,jk*****,2022-11-08 21:51:53.966349,"틱*에서 봤다고 사달라고 해서 구매 
소장하고픈 책이며 이가을에 어울려요",추천해요,4
1541658,ch*****,2020-06-20 20:38:18.783,딸에게 선물하고 제가 먼저 읽었는데... 아주 독특하면서 재밌게 읽었습니다,재밌어요,4
1541797,jy*****,2018-03-22 14:06:42.59,평안하게 보기 좋아요,좋아해요,4
14905141,si******,2024-10-16 21:29:24.789193,어느 누군가의 편지가 가장 사랑하는 이에게로,잘읽어요,4
14374060,sa*****,2024-08-12 08:42:54.871774,"사자마자 커피숍에서
순식간에 읽었어요 너무 재미있네요
인생책 될거같아요 저는40대이지만 청소년책 너무 재미있어요",추천해요,4
11457082,ib****,2023-05-04 09:08:45.512922,아이가 잘 읽어요 저도 읽어 보고싶어서 구매했어요 ,잘읽어요,4
15620379,ko********,2025-04-06 09:24:07.961325,중학생딸아이가 요즘 친구들사이에서 화제가 되고있는 책을 본인도 읽고싶다고해서 샀어요,추천해요,4
15597734,tr*****,2025-04-01 09:32:54.112114,"정말 감동적인 책입니다.
3번읽었어요~♡",재밌어요,4
15578771,ta*******,2025-03-27 21:34:28.218808,중3 국어 수행 대비 하려고 구매 했어요~,잘읽어요,4
15577134,bo*******,2025-03-27 14:34:45.572032,한번 펼치면 닫을 수 없는 책,잘읽어요,4
15571784,bo******,2025-03-26 09:11:22.752548,좋아요 좋아요~~~,재밌어요,4
15548758,ye********,2025-03-20 22:12:41.768676,"새학기 선물로 아이에게 줬더니 너무 좋아하네요
재밌대요!!!!!",좋아해요,4
15547029,yu*******,2025-03-20 14:38:15.863458,"아이가 읽고 싶다고 해서 구입하였습니다.
추천합니다.",잘읽어요,4
15541931,le********,2025-03-19 13:00:46.467193,중딩아이를 위한선물,잘읽어요,4
15522878,wo******,2025-03-15 10:52:02.569688,아이가  보고싶어한  책입니다,좋아해요,4
15510856,kk*****,2025-03-12 20:55:12.695589,지금 다른 책을 읽고 있어서 기대하고 있어요,좋아해요,4
15488994,ke*****,2025-03-08 20:12:15.453176,"재밌게  읽었어요
추천해요",좋아해요,4
15488988,ke*****,2025-03-08 20:11:30.577461,"아이가 좋아해요ㅡ
",잘읽어요,4
15444466,ch******,2025-02-28 18:39:09.435967,결말이 너무 슬퍼요ㅠㅠ 진짜 아니길 바랬는데..,잘읽어요,4
15400816,su******,2025-02-19 11:51:38.567793,재밌고 유익합니다. 추천합니다.,좋아해요,4
15400527,kh*******,2025-02-19 11:36:30.479176,아이가 잘읽습니다.,잘읽어요,4
15392218,ob******,2025-02-17 22:00:27.73366,아이가 많이 좋아합니다,좋아해요,4
15365393,eo*******************,2025-02-11 19:11:20.663098,도서관에 매번 빌리려다 아예 구매 했어요. 감사합니다. ,좋아해요,4
15345891,su*****,2025-02-07 12:53:46.902007,배송이 좀 오래 걸리긴 했는데..큰 애가 재밌다고 좋아해요.,좋아해요,4
