리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
4504541,lj*****,2021-10-05 12:35:55.76,내용은좋은데 가독성은 안좋아요... 읽는데 그릿이 필요,집중돼요,4
4504390,ls****,2022-08-29 09:13:19.616,"유명 유튜브에서 다들 하나같이 추천해서 봤는데, 연구 사례집 같았어요ㅠㅠ 누군가에게 인생책인 책이 제게는 너무 지루하고 불필요했네요..",,1
12747963,be*****,2023-12-20 01:20:17.637953,"연구 사례집 같고, 번역이 너무 이상합니다. 책 읽으면서 이렇게 후루륵 대충 읽은 건 손에 꼽는 듯해요. ",도움돼요,2
4504613,wl********,2021-09-30 10:22:34.35,"요즘같이 노력을 폄하하고 재능 만능주의에 빠진 시대에
신념을 변화시키기 위해 반드시 읽어야 할 책",집중돼요,4
4504495,ca****,2020-04-05 10:49:38.486,배송 빠르고 인쇄 좋습니다,도움돼요,4
4504392,wi******,2019-03-20 01:09:41.21,잘 알면서도 잘 모르겠는 그것. 그릿! 희망을 갖게 됩니다.,쉬웠어요,4
4504401,sn****,2019-05-14 13:48:30.46,"열정과 끈기!! 이 책을 읽으면서 다시 도전할 수 있는 에너지를 
얻었습니다.",집중돼요,4
12950083,hb****,2024-01-18 09:28:32.684964,천천히 잘 읽고 있습니다.,도움돼요,3
10425160,te********,2022-12-29 23:33:49.439689,노력하는것도 재능이 아닐까,집중돼요,4
13457327,lu******,2024-03-30 17:50:37.275919,중간에 쉽게 포기하지는 않지만 더 끝까지 가볼 수 있도록 이 책을 읽고 조금 위로 받았다.,도움돼요,3
13442942,re*****,2024-03-28 08:53:48.145381,"최근에 읽었던 자기계발서 등과 내용이 연결되는 것 같아 또 한 부분의 생각을 채워보고자 구매합니다. 자기계발서 어차피 비슷한 이야기고 내심 알고 있는 이야기가 대부분이라 놀라운 건 없지만, 막상 무언가를 실천하려고 할 때 인스턴트 음식처럼 읽어보면 동기부여가 잘되는 유용한 장르의 서적인 것 같습니다.",도움돼요,4
12976183,ds*****,2024-01-22 13:20:05.842095,"글자 크기나 배열이 잘 읽히는 편이고 표지도 예쁩니다. 다만 배송으로 받으면 미세한 흠집은 어쩔 수 없네요. 
책 내용은 긍정적인 마인드 세팅과 동기부여에 도움이 됩니다.  시간 지나면 한 번 더 읽어보려 합니다. 한 가지 일을 꾸준히 하기 어렵거나 쉽게 부정적인 생각에 휩싸이는 분, 자녀를 키우는 분이 읽으면 더욱 도움될 것 같아요.",도움돼요,4
10782435,ha*******,2023-02-12 00:32:16.670816,정말 좋은책입니다 여러번 읽어보세요,최고예요,4
10422104,jh*******,2022-12-29 15:53:52.204203,재능보다도 끈기가 얼마나 중요한가를 보여주는 훌륭한 자기개발서 이다.,추천해요,4
10336816,gy*****,2022-12-17 18:55:54.798331,재능없이 성공하고 싶은 사람들이 봐야하는 책,추천해요,4
4504585,ab******,2022-09-26 19:13:29.193,성공의 정의는 ‘끝까지 해내는 것’이다!,집중돼요,4
4504406,da********,2019-03-09 12:31:32.946,기대하며 읽고 있어요!,집중돼요,4
4504376,ka****,2019-03-03 15:10:17.746,리커버리 새로나와서 질렀습니다..ㅜ 이쁘게 잘나왔네요 책은 당연히 명불허전이구요,집중돼요,4
15594179,db********,2025-03-31 13:24:10.359801,교육을 위해서 직원들에게 선물로 주는 책을 구매했는데요. 아주 좋아합니다.ㅎㅎ 열정을 키우기 위한 책으로 적극 추천드립니다.,도움돼요,4
15590187,so********,2025-03-30 15:24:43.661419,재능을 뛰어넘는 노력의 힘,도움돼요,4
15565513,re********,2025-03-24 16:23:27.699199,예비맘들에게 도움이 되는 읽기 용이한 책이네요~,쉬웠어요,4
15543770,al********,2025-03-19 20:16:31.742673,받자마자 읽어보고 있어요.,도움돼요,4
15525260,ca****,2025-03-15 21:19:55.978712,고등학교 입학하는 학생 2명에게 선물했는데 학습동기부여가 된다는 피드백을 받았엉ᆢㄷ,최고예요,4
15524193,wi*****,2025-03-15 16:23:47.992137,"골드 애디션 기념으로 구매하였습니다.
유용합니다.",집중돼요,3
15521029,ke*******,2025-03-14 23:02:22.155128,유익한 책인것같습니다,집중돼요,4
15495008,fl****,2025-03-09 21:56:24.314978,그릿 모르는 사람이 없겠죠. 이번에 소장하기 위해서 구매 했습니다,도움돼요,4
15491243,ay******,2025-03-09 09:10:21.229894,"책의 두께를 무시하는 재미있는 내용. 빼때리는 내용. 재능도 중요하지만 노력과방향, 끈기가 무엇보다 중요하다.",도움돼요,4
15463262,ak********,2025-03-04 14:08:55.009224,배송이 빨라서 좋아요,집중돼요,4
15349240,ha**********************,2025-02-08 06:08:26.556351,​​​​​​​​​​,도움돼요,4
15333096,co******,2025-02-04 17:20:51.230741,책 표지에는 재능보다 중요한 노력이라고 해서 읽는데 처음 부분에 재능에 대한 이야기가 많이 나와서 괜히 구매했나 했는데 후반부로 갈 수록 노력의 중요성을 사례를 통해 보여주면서 책에 대해 더 집중할 수 있게 되었습니다. 여러 번 읽으면서 저도 그릿을 성장 시켜야겠어요,추천해요,4
15322378,hp***,2025-02-02 09:23:19.538625,다시금 일어날 수 있게 해주는 책이네요 ,도움돼요,4
15313343,cp****,2025-01-31 14:36:28.842334,많은 추천을 받은 책으로 기대가 아주 높았다。,도움돼요,4
15278461,so***,2025-01-21 11:36:03.418514,"그릿의 중요성, 공감돼요",추천해요,4
15263176,gu*******,2025-01-17 13:23:49.596284,2023년부터 자주 듣던 단어가 그릿 이었는데 무슨뜻이지?? 하고 생각만 하다가 읽을 기회가 생겨서 읽어 봤는데 책 두께에비해 꽤 재밌고 집중해서 읽을 수 있었습니다. 끈기와 열정을 키우고 싶은 분들에게 추천합니다.,도움돼요,4
15255082,ri***,2025-01-15 13:59:44.655201,추천받아 읽고 있습니다. 추천도서답네요,추천해요,4
15214364,jy***,2025-01-06 00:35:13.411493,지금 시작한일을 끝까지 해보고싶어요 동기유발을 위해,최고예요,4
15172499,do*******,2024-12-27 14:17:48.511004,쉽게 간과되는 노력의 중요성을 개관적으로 이해하고 스스로에게 동기부여하는데 도움이 돼서 구매했습니다. ,도움돼요,4
15105619,he*******,2024-12-09 19:07:37.709801,재밌게 잘 읽었습니다,집중돼요,4
15097089,lm*****,2024-12-07 09:55:15.394156,워낙 인기 있는 책이라 구매해봤는데 금방 읽게 되는 거 같아요!,집중돼요,4
15060654,on*****,2024-11-26 18:14:05.839598,읽고싶었던 책이였는데 빠르게 잘 받았어요,추천해요,4
15058059,ss****,2024-11-25 22:31:51.724153,재미도 있고 도윰 되었어요,도움돼요,4
15006613,mi********,2024-11-11 18:29:00.307052,추천 받아서 읽어보려고 구매했어요,도움돼요,4
14996509,at*****,2024-11-08 16:46:39.55188,"추천받아서 구매했습니다. 호불호가 갈리는 책인듯 합니다.
자녀가 있으시면 더 좋은 내용인듯 해요.",도움돼요,4
14992705,an****************,2024-11-07 15:57:54.185928,  열정을 가지고 끝까지 집중하기!! ,추천해요,4
14980231,on*****************,2024-11-04 05:57:28.12461,아이 육아에 도움이 됩니다,도움돼요,3
14976430,rb******,2024-11-03 08:36:46.994964,잘볼게요 감사합니다,집중돼요,4
14908716,bi*******,2024-10-17 20:01:40.0479,연구자료에 가까워서 집중해서 읽었네요,집중돼요,3
14894923,ji*******,2024-10-14 12:13:40.110949,유명한 책이라 읽고 싶어서 구매했어요,도움돼요,4
