리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
14080007,kj****,2024-06-30 22:47:31.345044,너무 좋아서 딸아이에게 선물했어요~,최고예요,4
13583071,pa*******,2024-04-18 17:25:42.214964,모든 작품이 독자를 충분히 만족시킬 순 없다. 당연하지 않는가. 근데 이 책을 접하기 전 까지는 이 작가의 책은 단 한번도 내게 부족함을 준 적이 없었다. 그러나 이번은 좀 달랐다. 정말 같은 작가가 쓴 것이 맞는가 싶었다. 그렇다고 형편없는 작품은 아니다. 내겐 아쉬웠다는 말을 길게 하다보니 악평으로 받아들여 질듯하여 이를 분명히 가름해 둔다.,고마워요,3
1543846,24*****,2021-01-30 08:57:36.183,잘 읽히지만 한편으론 마음 한구석이 욱씬거리는 책이었다.,,4
11438570,mu********,2023-05-01 19:29:49.886077,이해하기 다소 어려움.. 소설보단 시라고 하고 싶습니다,공감돼요,2
1543854,za*******,2019-05-31 09:38:52.36,작가가 일반인과 다른 이유는 사물을 보는 방식이나 생각이 완전하게 다르지요 읽어 보시면 압니다,,4
1543888,na*******,2021-10-31 23:36:46.89,"한번만 읽을수없는 책
보관하며 두고두고 읽는책
작가만의 감성이 나에게도 전염되는듯.",공감돼요,3
14993866,wo*******,2024-11-07 22:14:38.534318,"처음에는 흐름이 보이지 않았는데 다 읽고보니 하나의 이야기였던,,",최고예요,4
14976204,ha******,2024-11-03 01:38:07.572669,"노벨문학상 수상으로 한강 작가님의 책들 중 무얼 먼저 읽을까 고민하던 중에, 이 책의 제목과 주제인「흰」이 너무 마음에 들어 제일 먼저 구매하여 읽었습니다. 후회 없는 구매이고 선택이여서 아주 만족합니다. 글이 산문 형식이라 읽기가 굉장히 편하고요. 무엇보다 주제인「흰」이 너무 제 마음을 사로 잡았는데 왜냐하면 저도 세상의 모든「흰」것들에 대해 관심이 있었고 이에 대한 고민을 한적이 있었기 때문입니다. 한강 작가님이 써주신 세상의 모든「흰」것들에 대한 고민들. 다 읽었지만 글이 너무 좋아서 천천히 몇번이고 다시 읽으려고 합니다. 참고로 해당 책에 포함 되어 있는 해설 부분에는 한강 작가님의 다른 책들에 관한 스포일러가 적혀 있기 때문에 혹시라도 다른 책들을 아직 읽지 않으신 분들은 읽기 전 이점 꼭 참고하시기 바랍니다. 저는 모르고 읽다가 다른 책들에 대한 내용까지 조금 알게 되었네요. 끝으로 이미 축하의 말씀을 드렸었지만, 다시 한번 한강 작가님의 노벨문학상 수상을 축하드리며, 좋은 글을 써주셔서 감사드립니다.「흰」책 너무 너무 좋아요!!!",고마워요,4
14336522,si*******,2024-08-05 23:34:08.662991,내용이 좋아요 정말로,최고예요,4
14082135,kj****,2024-07-01 00:53:58.441764,제가 읽고 좋아서 딸아이 사줬는데 너무 좋아합니다.^^,최고예요,4
13638440,yj******,2024-04-26 14:32:37.837375,너무 좋은 책입니다,공감돼요,4
